player_name,slug,player_status,season_year,season_start_year,season_age,team_name_abbr,pos,season_g,season_mp,season_pts,season_trb,season_ast,season_stl,season_blk,season_ppg,season_rpg,season_apg,season_per,season_ts_pct,season_ws,season_ws_per48,season_bpm,season_vorp,season_obpm,season_dbpm,season_fg_pct,season_efg_pct
Michael Jordan,jordami01,historical,1984-85,1984,21.0,CHI,SG,82.0,3144.0,2313.0,534.0,481.0,196.0,69.0,28.20731707317073,6.512195121951219,5.865853658536586,25.8,0.592,14.0,0.213,7.3,7.4,5.8,1.5,0.515,0.518
Michael Jordan,jordami01,historical,1985-86,1985,22.0,CHI,SG,18.0,451.0,408.0,64.0,53.0,37.0,21.0,22.666666666666668,3.5555555555555554,2.9444444444444446,27.5,0.533,1.5,0.16,9.7,1.3,7.5,2.2,0.457,0.462
Michael Jordan,jordami01,historical,1986-87,1986,23.0,CHI,SG,82.0,3281.0,3041.0,430.0,377.0,236.0,125.0,37.08536585365854,5.2439024390243905,4.597560975609756,29.8,0.562,16.9,0.247,10.8,10.6,8.4,2.4,0.482,0.484
Michael Jordan,jordami01,historical,1987-88,1987,24.0,CHI,SG,82.0,3311.0,2868.0,449.0,485.0,259.0,131.0,34.97560975609756,5.475609756097561,5.914634146341464,31.7,0.603,21.2,0.308,13.0,12.5,8.8,4.2,0.535,0.537
Michael Jordan,jordami01,historical,1988-89,1988,25.0,CHI,SG,81.0,3255.0,2633.0,652.0,650.0,234.0,65.0,32.50617283950617,8.049382716049383,8.024691358024691,31.1,0.614,19.8,0.292,11.9,11.4,8.4,3.4,0.538,0.546
Michael Jordan,jordami01,historical,1989-90,1989,26.0,CHI,SG,82.0,3197.0,2753.0,565.0,519.0,227.0,54.0,33.573170731707314,6.890243902439025,6.329268292682927,31.2,0.606,19.0,0.285,11.2,10.6,9.1,2.1,0.526,0.55
Michael Jordan,jordami01,historical,1990-91,1990,27.0,CHI,SG,82.0,3034.0,2580.0,492.0,453.0,223.0,83.0,31.463414634146343,6.0,5.524390243902439,31.6,0.605,20.3,0.321,12.0,10.8,8.9,3.2,0.539,0.547
Michael Jordan,jordami01,historical,1991-92,1991,28.0,CHI,SG,80.0,3102.0,2404.0,511.0,489.0,182.0,75.0,30.05,6.3875,6.1125,27.7,0.579,17.7,0.274,9.7,9.2,7.2,2.5,0.519,0.526
Michael Jordan,jordami01,historical,1992-93,1992,29.0,CHI,SG,78.0,3067.0,2541.0,522.0,428.0,221.0,61.0,32.57692307692308,6.6923076923076925,5.487179487179487,29.7,0.564,17.2,0.27,11.2,10.2,8.7,2.6,0.495,0.515
Michael Jordan,jordami01,historical,1994-95,1994,31.0,CHI,SG,17.0,668.0,457.0,117.0,90.0,30.0,13.0,26.88235294117647,6.882352941176471,5.294117647058823,22.1,0.493,2.3,0.167,4.2,1.1,3.6,0.6,0.411,0.431
Michael Jordan,jordami01,historical,1995-96,1995,32.0,CHI,SG,82.0,3090.0,2491.0,543.0,352.0,180.0,42.0,30.378048780487806,6.621951219512195,4.2926829268292686,29.4,0.582,20.4,0.317,10.5,9.8,8.3,2.2,0.495,0.525
Michael Jordan,jordami01,historical,1996-97,1996,33.0,CHI,SG,82.0,3106.0,2431.0,482.0,352.0,140.0,44.0,29.646341463414632,5.878048780487805,4.2926829268292686,27.8,0.567,18.3,0.283,8.9,8.6,7.8,1.1,0.486,0.516
Michael Jordan,jordami01,historical,1997-98,1997,34.0,CHI,SG,82.0,3181.0,2357.0,475.0,283.0,141.0,45.0,28.74390243902439,5.7926829268292686,3.451219512195122,25.2,0.533,15.8,0.238,6.9,7.1,5.9,1.0,0.465,0.473
Michael Jordan,jordami01,historical,2001-02,2001,38.0,WAS,SF,60.0,2093.0,1375.0,339.0,310.0,85.0,26.0,22.916666666666668,5.65,5.166666666666667,20.7,0.468,3.3,0.075,3.1,2.7,3.2,-0.1,0.416,0.42
Michael Jordan,jordami01,historical,2002-03,2002,39.0,WAS,SF,82.0,3031.0,1640.0,497.0,311.0,123.0,39.0,20.0,6.060975609756097,3.792682926829268,19.3,0.491,6.2,0.099,1.7,2.8,1.8,0.0,0.445,0.45
LeBron James,jamesle01,active,2003-04,2003,19.0,CLE,SG,79.0,3122.0,1654.0,432.0,465.0,130.0,58.0,20.936708860759495,5.468354430379747,5.886075949367089,18.3,0.488,5.1,0.078,1.7,2.9,2.3,-0.6,0.417,0.438
LeBron James,jamesle01,active,2004-05,2004,20.0,CLE,SF,80.0,3388.0,2175.0,588.0,577.0,177.0,52.0,27.1875,7.35,7.2125,25.7,0.554,14.3,0.203,8.6,9.1,7.0,1.7,0.472,0.504
LeBron James,jamesle01,active,2005-06,2005,21.0,CLE,SF,79.0,3361.0,2478.0,556.0,521.0,123.0,66.0,31.367088607594937,7.037974683544304,6.594936708860759,28.1,0.568,16.3,0.232,9.1,9.4,7.5,1.6,0.48,0.515
LeBron James,jamesle01,active,2006-07,2006,22.0,CLE,SF,78.0,3190.0,2132.0,526.0,470.0,125.0,55.0,27.333333333333332,6.743589743589744,6.0256410256410255,24.5,0.552,13.7,0.206,8.1,8.1,5.9,2.2,0.476,0.507
LeBron James,jamesle01,active,2007-08,2007,23.0,CLE,SF,75.0,3027.0,2250.0,592.0,539.0,138.0,81.0,30.0,7.8933333333333335,7.1866666666666665,29.1,0.568,15.2,0.242,10.9,9.8,8.2,2.6,0.484,0.518
LeBron James,jamesle01,active,2008-09,2008,24.0,CLE,SF,81.0,3054.0,2304.0,613.0,587.0,137.0,93.0,28.444444444444443,7.567901234567901,7.246913580246914,31.7,0.591,20.3,0.318,13.2,11.8,9.5,3.7,0.489,0.53
LeBron James,jamesle01,active,2009-10,2009,25.0,CLE,SF,76.0,2966.0,2258.0,554.0,651.0,125.0,77.0,29.710526315789473,7.2894736842105265,8.56578947368421,31.1,0.604,18.5,0.299,11.8,10.3,9.1,2.8,0.503,0.545
LeBron James,jamesle01,active,2010-11,2010,26.0,MIA,SF,79.0,3063.0,2111.0,590.0,554.0,124.0,50.0,26.72151898734177,7.468354430379747,7.012658227848101,27.3,0.594,15.6,0.244,8.1,7.8,6.3,1.8,0.51,0.541
LeBron James,jamesle01,active,2011-12,2011,27.0,MIA,SF,62.0,2326.0,1683.0,492.0,387.0,115.0,50.0,27.14516129032258,7.935483870967742,6.241935483870968,30.7,0.605,14.5,0.298,10.9,7.6,8.2,2.7,0.531,0.554
LeBron James,jamesle01,active,2012-13,2012,28.0,MIA,PF,76.0,2877.0,2036.0,610.0,551.0,129.0,67.0,26.789473684210527,8.026315789473685,7.25,31.6,0.64,19.3,0.322,11.7,9.9,9.3,2.4,0.565,0.603
LeBron James,jamesle01,active,2013-14,2013,29.0,MIA,PF,77.0,2902.0,2089.0,533.0,488.0,121.0,26.0,27.12987012987013,6.922077922077922,6.337662337662338,29.3,0.649,15.9,0.264,8.8,7.9,7.8,1.1,0.567,0.61
LeBron James,jamesle01,active,2014-15,2014,30.0,CLE,SF,69.0,2493.0,1743.0,416.0,511.0,109.0,49.0,25.26086956521739,6.028985507246377,7.405797101449275,25.9,0.577,10.4,0.199,7.1,5.7,6.1,1.0,0.488,0.535
LeBron James,jamesle01,active,2015-16,2015,31.0,CLE,SF,76.0,2709.0,1920.0,565.0,514.0,104.0,49.0,25.263157894736842,7.434210526315789,6.7631578947368425,27.5,0.588,13.6,0.242,9.0,7.5,7.0,2.0,0.52,0.551
LeBron James,jamesle01,active,2016-17,2016,32.0,CLE,SF,74.0,2794.0,1954.0,639.0,646.0,92.0,44.0,26.405405405405407,8.635135135135135,8.72972972972973,27.0,0.619,12.9,0.221,7.6,6.7,6.4,1.2,0.548,0.594
LeBron James,jamesle01,active,2017-18,2017,33.0,CLE,PF,82.0,3026.0,2251.0,709.0,747.0,116.0,71.0,27.451219512195124,8.646341463414634,9.109756097560975,28.6,0.621,14.0,0.221,8.7,8.2,7.3,1.4,0.542,0.59
LeBron James,jamesle01,active,2018-19,2018,34.0,LAL,SF,55.0,1937.0,1505.0,465.0,454.0,72.0,33.0,27.363636363636363,8.454545454545455,8.254545454545454,25.6,0.588,7.2,0.179,8.0,4.9,6.4,1.7,0.51,0.56
LeBron James,jamesle01,active,2019-20,2019,35.0,LAL,PG,67.0,2316.0,1698.0,525.0,684.0,78.0,36.0,25.34328358208955,7.835820895522388,10.208955223880597,25.5,0.577,9.8,0.204,8.4,6.1,6.6,1.8,0.493,0.55
LeBron James,jamesle01,active,2020-21,2020,36.0,LAL,PG,45.0,1504.0,1126.0,346.0,350.0,48.0,25.0,25.022222222222222,7.688888888888889,7.777777777777778,24.2,0.602,5.6,0.179,8.1,3.8,5.9,2.3,0.513,0.576
LeBron James,jamesle01,active,2021-22,2021,37.0,LAL,C,56.0,2084.0,1695.0,459.0,349.0,73.0,59.0,30.267857142857142,8.196428571428571,6.232142857142857,26.2,0.619,7.5,0.172,7.7,5.1,6.9,0.8,0.524,0.59
LeBron James,jamesle01,active,2022-23,2022,38.0,LAL,PF,55.0,1954.0,1590.0,457.0,375.0,50.0,32.0,28.90909090909091,8.309090909090909,6.818181818181818,23.9,0.583,5.6,0.138,6.1,4.0,5.5,0.6,0.5,0.549
LeBron James,jamesle01,active,2023-24,2023,39.0,LAL,PF,71.0,2504.0,1822.0,518.0,589.0,89.0,38.0,25.661971830985916,7.295774647887324,8.295774647887324,23.7,0.63,8.5,0.164,6.5,5.4,5.5,0.9,0.54,0.599
LeBron James,jamesle01,active,2024-25,2024,40.0,LAL,SF,70.0,2444.0,1710.0,546.0,575.0,70.0,39.0,24.428571428571427,7.8,8.214285714285714,22.7,0.604,7.7,0.152,5.6,4.7,4.9,0.7,0.513,0.571
LeBron James,jamesle01,active,2025-26,2025,41.0,LAL,SF,45.0,1490.0,961.0,255.0,315.0,50.0,29.0,21.355555555555554,5.666666666666667,7.0,20.5,0.586,3.6,0.118,3.0,1.9,3.2,-0.2,0.505,0.549
Kareem Abdul-Jabbar,abdulka01,historical,1969-70,1969,22.0,MIL,C,82.0,3534.0,2361.0,1190.0,337.0,,,28.79268292682927,14.512195121951219,4.109756097560975,22.5,0.552,13.8,0.187,,,,,0.518,0.518
Kareem Abdul-Jabbar,abdulka01,historical,1970-71,1970,23.0,MIL,C,82.0,3288.0,2596.0,1311.0,272.0,,,31.658536585365855,15.987804878048781,3.317073170731707,29.0,0.606,22.3,0.326,,,,,0.577,0.577
Kareem Abdul-Jabbar,abdulka01,historical,1971-72,1971,24.0,MIL,C,81.0,3583.0,2822.0,1346.0,370.0,,,34.839506172839506,16.617283950617285,4.567901234567901,29.9,0.603,25.4,0.34,,,,,0.574,0.574
Kareem Abdul-Jabbar,abdulka01,historical,1972-73,1972,25.0,MIL,C,76.0,3254.0,2292.0,1224.0,379.0,,,30.157894736842106,16.105263157894736,4.9868421052631575,28.5,0.58,21.9,0.322,,,,,0.554,0.554
Kareem Abdul-Jabbar,abdulka01,historical,1973-74,1973,26.0,MIL,C,81.0,3548.0,2191.0,1178.0,386.0,112.0,283.0,27.049382716049383,14.54320987654321,4.765432098765432,24.4,0.564,18.4,0.25,7.5,8.6,5.0,2.5,0.539,0.539
Kareem Abdul-Jabbar,abdulka01,historical,1974-75,1974,27.0,MIL,C,65.0,2747.0,1949.0,912.0,264.0,65.0,212.0,29.984615384615385,14.03076923076923,4.061538461538461,26.4,0.55,12.9,0.225,7.6,6.7,5.8,1.8,0.513,0.513
Kareem Abdul-Jabbar,abdulka01,historical,1975-76,1975,28.0,LAL,C,82.0,3379.0,2275.0,1383.0,413.0,119.0,338.0,27.74390243902439,16.865853658536587,5.036585365853658,27.2,0.567,17.0,0.242,8.5,9.0,5.5,3.0,0.529,0.529
Kareem Abdul-Jabbar,abdulka01,historical,1976-77,1976,29.0,LAL,C,82.0,3016.0,2152.0,1090.0,319.0,101.0,261.0,26.24390243902439,13.292682926829269,3.8902439024390243,27.8,0.608,17.8,0.283,9.4,8.7,6.8,2.6,0.579,0.579
Kareem Abdul-Jabbar,abdulka01,historical,1977-78,1977,30.0,LAL,C,62.0,2265.0,1600.0,801.0,269.0,103.0,185.0,25.806451612903224,12.919354838709678,4.338709677419355,29.2,0.589,12.1,0.257,9.3,6.5,6.5,2.9,0.55,0.55
Kareem Abdul-Jabbar,abdulka01,historical,1978-79,1978,31.0,LAL,C,80.0,3157.0,1903.0,1025.0,431.0,76.0,316.0,23.7875,12.8125,5.3875,25.5,0.612,14.4,0.219,7.6,7.7,4.6,3.0,0.577,0.577
Kareem Abdul-Jabbar,abdulka01,historical,1979-80,1979,32.0,LAL,C,82.0,3143.0,2034.0,886.0,371.0,81.0,280.0,24.804878048780488,10.804878048780488,4.524390243902439,25.3,0.639,14.8,0.227,7.2,7.3,4.8,2.4,0.604,0.604
Kareem Abdul-Jabbar,abdulka01,historical,1980-81,1980,33.0,LAL,C,80.0,2976.0,2095.0,821.0,272.0,59.0,228.0,26.1875,10.2625,3.4,25.5,0.616,14.3,0.23,6.1,6.1,4.7,1.4,0.574,0.574
Kareem Abdul-Jabbar,abdulka01,historical,1981-82,1981,34.0,LAL,C,76.0,2677.0,1818.0,659.0,225.0,63.0,207.0,23.92105263157895,8.671052631578947,2.960526315789474,23.4,0.608,10.7,0.192,5.0,4.7,3.8,1.2,0.579,0.579
Kareem Abdul-Jabbar,abdulka01,historical,1982-83,1982,35.0,LAL,C,79.0,2554.0,1722.0,592.0,200.0,61.0,170.0,21.79746835443038,7.493670886075949,2.5316455696202533,23.6,0.619,10.9,0.205,4.5,4.2,4.0,0.5,0.588,0.588
Kareem Abdul-Jabbar,abdulka01,historical,1983-84,1983,36.0,LAL,C,80.0,2622.0,1717.0,587.0,211.0,55.0,143.0,21.4625,7.3375,2.6375,21.3,0.608,8.9,0.163,3.0,3.3,2.8,0.2,0.578,0.578
Kareem Abdul-Jabbar,abdulka01,historical,1984-85,1984,37.0,LAL,C,79.0,2630.0,1735.0,622.0,249.0,63.0,162.0,21.962025316455698,7.8734177215189876,3.151898734177215,22.9,0.628,11.2,0.204,5.1,4.8,3.9,1.2,0.599,0.599
Kareem Abdul-Jabbar,abdulka01,historical,1985-86,1985,38.0,LAL,C,79.0,2629.0,1846.0,478.0,280.0,67.0,130.0,23.367088607594937,6.050632911392405,3.5443037974683542,22.7,0.603,10.8,0.197,5.4,4.9,4.4,1.0,0.564,0.564
Kareem Abdul-Jabbar,abdulka01,historical,1986-87,1986,39.0,LAL,C,78.0,2441.0,1366.0,523.0,203.0,49.0,97.0,17.512820512820515,6.705128205128205,2.6025641025641026,17.9,0.597,7.5,0.148,1.6,2.2,1.4,0.1,0.564,0.564
Kareem Abdul-Jabbar,abdulka01,historical,1987-88,1987,40.0,LAL,C,80.0,2308.0,1165.0,478.0,135.0,48.0,92.0,14.5625,5.975,1.6875,15.8,0.57,5.3,0.111,0.0,1.2,-0.1,0.1,0.532,0.532
Kareem Abdul-Jabbar,abdulka01,historical,1988-89,1988,41.0,LAL,C,74.0,1695.0,748.0,334.0,74.0,38.0,85.0,10.108108108108109,4.513513513513513,1.0,12.9,0.511,2.9,0.082,-2.1,0.0,-1.9,-0.2,0.475,0.475
Bill Russell,russebi01,historical,1956-57,1956,22.0,BOS,C,48.0,1695.0,706.0,943.0,88.0,,,14.708333333333334,19.645833333333332,1.8333333333333333,21.1,0.45,6.2,0.176,,,,,0.427,
Bill Russell,russebi01,historical,1957-58,1957,23.0,BOS,C,69.0,2640.0,1142.0,1564.0,202.0,,,16.55072463768116,22.666666666666668,2.927536231884058,22.8,0.465,11.3,0.206,,,,,0.442,
Bill Russell,russebi01,historical,1958-59,1958,24.0,BOS,C,70.0,2979.0,1168.0,1612.0,222.0,,,16.685714285714287,23.02857142857143,3.1714285714285713,20.7,0.493,12.9,0.208,,,,,0.457,
Bill Russell,russebi01,historical,1959-60,1959,25.0,BOS,C,74.0,3146.0,1350.0,1778.0,277.0,,,18.243243243243242,24.027027027027028,3.7432432432432434,20.2,0.496,13.8,0.211,,,,,0.467,
Bill Russell,russebi01,historical,1960-61,1960,26.0,BOS,C,78.0,3458.0,1322.0,1868.0,268.0,,,16.94871794871795,23.94871794871795,3.4358974358974357,18.1,0.454,13.0,0.181,,,,,0.426,
Bill Russell,russebi01,historical,1961-62,1961,27.0,BOS,C,76.0,3433.0,1436.0,1790.0,341.0,,,18.894736842105264,23.55263157894737,4.4868421052631575,19.6,0.489,15.5,0.217,,,,,0.457,
Bill Russell,russebi01,historical,1962-63,1962,28.0,BOS,C,78.0,3500.0,1309.0,1843.0,348.0,,,16.78205128205128,23.628205128205128,4.461538461538462,18.2,0.464,13.5,0.185,,,,,0.432,
Bill Russell,russebi01,historical,1963-64,1963,29.0,BOS,C,78.0,3482.0,1168.0,1930.0,370.0,,,14.974358974358974,24.743589743589745,4.743589743589744,19.3,0.461,17.3,0.238,,,,,0.433,
Bill Russell,russebi01,historical,1964-65,1964,30.0,BOS,C,78.0,3466.0,1102.0,1878.0,410.0,,,14.128205128205128,24.076923076923077,5.256410256410256,19.5,0.472,16.9,0.233,,,,,0.438,
Bill Russell,russebi01,historical,1965-66,1965,31.0,BOS,C,78.0,3386.0,1005.0,1779.0,371.0,,,12.884615384615385,22.807692307692307,4.756410256410256,17.3,0.448,11.7,0.165,,,,,0.415,
Bill Russell,russebi01,historical,1966-67,1966,32.0,BOS,C,81.0,3297.0,1075.0,1700.0,472.0,,,13.271604938271604,20.987654320987655,5.827160493827161,18.6,0.5,12.2,0.178,,,,,0.454,
Bill Russell,russebi01,historical,1967-68,1967,33.0,BOS,C,78.0,2953.0,977.0,1451.0,357.0,,,12.525641025641026,18.602564102564102,4.576923076923077,17.0,0.461,8.2,0.133,,,,,0.425,
Bill Russell,russebi01,historical,1968-69,1968,34.0,BOS,C,77.0,3291.0,762.0,1484.0,374.0,,,9.896103896103897,19.272727272727273,4.857142857142857,15.2,0.467,10.9,0.159,,,,,0.433,
Wilt Chamberlain,chambwi01,historical,1959-60,1959,23.0,PHW,C,72.0,3338.0,2707.0,1941.0,168.0,,,37.59722222222222,26.958333333333332,2.3333333333333335,28.1,0.493,17.0,0.245,,,,,0.461,
Wilt Chamberlain,chambwi01,historical,1960-61,1960,24.0,PHW,C,79.0,3773.0,3033.0,2149.0,148.0,,,38.392405063291136,27.20253164556962,1.8734177215189873,27.8,0.519,18.8,0.24,,,,,0.509,
Wilt Chamberlain,chambwi01,historical,1961-62,1961,25.0,PHW,C,80.0,3882.0,4029.0,2052.0,192.0,,,50.3625,25.65,2.4,32.1,0.536,23.1,0.286,,,,,0.506,
Wilt Chamberlain,chambwi01,historical,1962-63,1962,26.0,SFW,C,80.0,3806.0,3586.0,1946.0,275.0,,,44.825,24.325,3.4375,31.8,0.55,20.9,0.264,,,,,0.528,
Wilt Chamberlain,chambwi01,historical,1963-64,1963,27.0,SFW,C,80.0,3689.0,2948.0,1787.0,403.0,,,36.85,22.3375,5.0375,31.6,0.537,25.0,0.325,,,,,0.524,
Wilt Chamberlain,chambwi01,historical,1964-65,1964,28.0,2TM,C,73.0,3301.0,2534.0,1673.0,250.0,,,34.71232876712329,22.91780821917808,3.4246575342465753,28.6,0.513,15.1,0.22,,,,,0.51,
Wilt Chamberlain,chambwi01,historical,1964-65,1964,28.0,PHI,C,35.0,1558.0,1054.0,780.0,133.0,,,30.114285714285714,22.285714285714285,3.8,27.3,0.54,7.6,0.233,,,,,0.528,
Wilt Chamberlain,chambwi01,historical,1964-65,1964,28.0,SFW,C,38.0,1743.0,1480.0,893.0,117.0,,,38.94736842105263,23.5,3.0789473684210527,29.8,0.495,7.5,0.208,,,,,0.499,
Wilt Chamberlain,chambwi01,historical,1965-66,1965,29.0,PHI,C,79.0,3737.0,2649.0,1943.0,414.0,,,33.53164556962025,24.59493670886076,5.2405063291139244,28.3,0.547,21.4,0.275,,,,,0.54,
Wilt Chamberlain,chambwi01,historical,1966-67,1966,30.0,PHI,C,81.0,3682.0,1956.0,1957.0,630.0,,,24.14814814814815,24.160493827160494,7.777777777777778,26.5,0.637,21.9,0.285,,,,,0.683,
Wilt Chamberlain,chambwi01,historical,1967-68,1967,31.0,PHI,C,82.0,3836.0,1992.0,1952.0,702.0,,,24.29268292682927,23.804878048780488,8.560975609756097,24.7,0.557,20.4,0.255,,,,,0.595,
Wilt Chamberlain,chambwi01,historical,1968-69,1968,32.0,LAL,C,81.0,3669.0,1664.0,1712.0,366.0,,,20.54320987654321,21.135802469135804,4.518518518518518,21.9,0.564,14.7,0.192,,,,,0.583,
Wilt Chamberlain,chambwi01,historical,1969-70,1969,33.0,LAL,C,12.0,505.0,328.0,221.0,49.0,,,27.333333333333332,18.416666666666668,4.083333333333333,24.8,0.554,2.3,0.221,,,,,0.568,
Wilt Chamberlain,chambwi01,historical,1970-71,1970,34.0,LAL,C,82.0,3630.0,1696.0,1493.0,352.0,,,20.682926829268293,18.20731707317073,4.2926829268292686,20.3,0.558,12.6,0.167,,,,,0.545,
Wilt Chamberlain,chambwi01,historical,1971-72,1971,35.0,LAL,C,82.0,3469.0,1213.0,1572.0,329.0,,,14.792682926829269,19.170731707317074,4.012195121951219,18.5,0.61,15.8,0.219,,,,,0.649,
Wilt Chamberlain,chambwi01,historical,1972-73,1972,36.0,LAL,C,82.0,3542.0,1084.0,1526.0,365.0,,,13.21951219512195,18.609756097560975,4.451219512195122,19.1,0.689,18.2,0.247,,,,,0.727,
Magic Johnson,johnsma02,historical,1979-80,1979,20.0,LAL,SG,77.0,2795.0,1387.0,596.0,563.0,187.0,41.0,18.01298701298701,7.740259740259741,7.311688311688312,20.6,0.602,10.5,0.18,4.8,4.8,3.1,1.7,0.53,0.534
Magic Johnson,johnsma02,historical,1980-81,1980,21.0,LAL,SG,37.0,1371.0,798.0,320.0,317.0,127.0,27.0,21.56756756756757,8.64864864864865,8.567567567567568,25.7,0.582,6.4,0.225,8.8,3.8,5.6,3.3,0.532,0.534
Magic Johnson,johnsma02,historical,1981-82,1981,22.0,LAL,SG,78.0,2991.0,1447.0,751.0,743.0,208.0,34.0,18.55128205128205,9.628205128205128,9.525641025641026,22.9,0.59,12.9,0.207,7.2,7.0,4.9,2.3,0.537,0.54
Magic Johnson,johnsma02,historical,1982-83,1982,23.0,LAL,SG,79.0,2907.0,1326.0,683.0,829.0,176.0,47.0,16.78481012658228,8.645569620253164,10.49367088607595,23.0,0.603,12.5,0.207,7.2,6.8,5.4,1.8,0.548,0.548
Magic Johnson,johnsma02,historical,1983-84,1983,24.0,LAL,PG,67.0,2567.0,1178.0,491.0,875.0,150.0,49.0,17.582089552238806,7.3283582089552235,13.059701492537313,22.6,0.628,10.2,0.191,6.6,5.6,4.8,1.8,0.565,0.569
Magic Johnson,johnsma02,historical,1984-85,1984,25.0,LAL,PG,77.0,2781.0,1406.0,476.0,968.0,113.0,25.0,18.25974025974026,6.181818181818182,12.571428571428571,23.2,0.637,12.7,0.22,6.7,6.1,5.8,0.8,0.561,0.565
Magic Johnson,johnsma02,historical,1985-86,1985,26.0,LAL,PG,72.0,2578.0,1354.0,426.0,907.0,113.0,16.0,18.805555555555557,5.916666666666667,12.597222222222221,24.0,0.61,12.1,0.226,6.7,5.7,6.0,0.7,0.526,0.532
Magic Johnson,johnsma02,historical,1986-87,1986,27.0,LAL,PG,80.0,2904.0,1909.0,504.0,977.0,138.0,36.0,23.8625,6.3,12.2125,27.0,0.602,15.9,0.263,8.8,8.0,7.5,1.3,0.522,0.525
Magic Johnson,johnsma02,historical,1987-88,1987,28.0,LAL,PG,72.0,2637.0,1408.0,449.0,858.0,114.0,13.0,19.555555555555557,6.236111111111111,11.916666666666666,23.1,0.581,10.9,0.199,6.0,5.3,5.2,0.8,0.492,0.497
Magic Johnson,johnsma02,historical,1988-89,1988,29.0,LAL,PG,77.0,2886.0,1730.0,607.0,988.0,138.0,22.0,22.467532467532468,7.883116883116883,12.831168831168831,26.9,0.625,16.1,0.267,9.4,8.3,7.3,2.0,0.509,0.535
Magic Johnson,johnsma02,historical,1989-90,1989,30.0,LAL,PG,79.0,2937.0,1765.0,522.0,907.0,132.0,34.0,22.341772151898734,6.6075949367088604,11.481012658227849,26.6,0.622,16.5,0.27,10.1,8.9,8.3,1.8,0.48,0.526
Magic Johnson,johnsma02,historical,1990-91,1990,31.0,LAL,PG,79.0,2933.0,1531.0,551.0,989.0,102.0,17.0,19.379746835443036,6.974683544303797,12.518987341772151,25.1,0.623,15.4,0.251,9.0,8.1,7.0,1.9,0.477,0.518
Magic Johnson,johnsma02,historical,1995-96,1995,36.0,LAL,PF,32.0,958.0,468.0,183.0,220.0,26.0,13.0,14.625,5.71875,6.875,21.1,0.612,3.6,0.181,5.2,1.8,4.7,0.5,0.466,0.503
Larry Bird,birdla01,historical,1979-80,1979,23.0,BOS,PF,82.0,2955.0,1745.0,852.0,370.0,143.0,53.0,21.28048780487805,10.390243902439025,4.512195121951219,20.5,0.538,11.2,0.182,4.5,4.8,3.0,1.5,0.474,0.494
Larry Bird,birdla01,historical,1980-81,1980,24.0,BOS,PF,82.0,3239.0,1741.0,895.0,451.0,161.0,63.0,21.23170731707317,10.914634146341463,5.5,19.9,0.528,10.8,0.16,4.3,5.2,2.5,1.8,0.478,0.485
Larry Bird,birdla01,historical,1981-82,1981,25.0,BOS,PF,77.0,2923.0,1761.0,837.0,447.0,143.0,66.0,22.87012987012987,10.87012987012987,5.805194805194805,22.6,0.557,12.5,0.205,6.6,6.4,4.4,2.3,0.503,0.507
Larry Bird,birdla01,historical,1982-83,1982,26.0,BOS,PF,79.0,2982.0,1867.0,870.0,458.0,148.0,71.0,23.632911392405063,11.012658227848101,5.7974683544303796,24.1,0.561,14.0,0.225,7.5,7.2,5.4,2.1,0.504,0.512
Larry Bird,birdla01,historical,1983-84,1983,27.0,BOS,PF,79.0,3028.0,1908.0,796.0,520.0,144.0,69.0,24.151898734177216,10.075949367088608,6.582278481012659,24.2,0.552,13.6,0.215,7.6,7.3,5.6,2.0,0.492,0.497
Larry Bird,birdla01,historical,1984-85,1984,28.0,BOS,SF,80.0,3161.0,2295.0,842.0,531.0,129.0,98.0,28.6875,10.525,6.6375,26.5,0.585,15.7,0.238,8.8,8.7,6.8,2.0,0.522,0.538
Larry Bird,birdla01,historical,1985-86,1985,29.0,BOS,SF,82.0,3113.0,2115.0,805.0,557.0,166.0,51.0,25.79268292682927,9.817073170731707,6.7926829268292686,25.6,0.58,15.8,0.244,8.7,8.4,6.6,2.1,0.496,0.521
Larry Bird,birdla01,historical,1986-87,1986,30.0,BOS,SF,74.0,3005.0,2076.0,682.0,566.0,135.0,70.0,28.054054054054053,9.216216216216216,7.648648648648648,26.4,0.612,15.2,0.243,9.4,8.6,7.3,2.0,0.525,0.555
Larry Bird,birdla01,historical,1987-88,1987,31.0,BOS,SF,76.0,2965.0,2275.0,703.0,467.0,125.0,57.0,29.93421052631579,9.25,6.144736842105263,27.8,0.608,15.0,0.243,8.8,8.1,7.8,1.0,0.527,0.556
Larry Bird,birdla01,historical,1988-89,1988,32.0,BOS,SF,6.0,189.0,116.0,37.0,29.0,6.0,5.0,19.333333333333332,6.166666666666667,4.833333333333333,19.8,0.516,0.5,0.129,3.7,0.3,2.1,1.6,0.471,0.471
Larry Bird,birdla01,historical,1989-90,1989,33.0,BOS,SF,75.0,2944.0,1820.0,712.0,562.0,106.0,61.0,24.266666666666666,9.493333333333334,7.493333333333333,21.9,0.546,9.5,0.154,5.3,5.5,4.1,1.2,0.473,0.495
Larry Bird,birdla01,historical,1990-91,1990,34.0,BOS,SF,60.0,2277.0,1164.0,509.0,431.0,108.0,58.0,19.4,8.483333333333333,7.183333333333334,19.7,0.53,6.6,0.14,4.6,3.8,2.9,1.7,0.454,0.492
